Variable,Chi-square,P-value,Cramer's V
No_action,21.784615384615385*,0.01624024650250908,0.3012793235010175
No_new_comparative_trial,33.19148936170213*,6.20239844430608e-08,0.74376843799781
Prediction_Current_same_rule,13.326490713587491,0.20598585198445643,0.23564177184860044
Prediction_Voltage_Drop_same_rule,13.500000000000002,0.19704337509047803,0.23717082451262844
Confidence_Current_verify_prediction,17.551724137931032,0.06301290716603922,0.27042962838425444
Confidence_Voltage_Drop_verify_prediction,10.607142857142856,0.38893237387545754,0.21022946646802051
Rule_Current_Confirming_Redundancy,14.30909090909091*,0.006371183981646716,0.244174552566831
Rule_Voltage_Drop_Confirming_Redundancy,11.576744186046511*,0.020792541655001887,0.21962794473501573
Post_test_Current_non_normative,23.333333333333332*,8.574939102672296e-06,0.6236095644623235
Post_test_Voltage_Drop_non_normative,25.599999999999998*,2.760772572037203e-06,0.6531972647421808
New_comparative_trial,33.19148936170213*,6.20239844430608e-08,0.74376843799781
Prediction_Current_Fill_up_gaps,24.925217391304347*,0.001600567796199439,0.3222655309892265
Prediction_Voltage_Drop_Fill_up_gaps,21.529090909090904*,0.0014732084425224728,0.29950717095679935
Confidence_Current_falsify_prediction,17.88888888888889*,0.0012973515049836822,0.27301471945123584
Confidence_Voltage_Drop_falsify_prediction,22.585714285714282*,0.0009477954301436765,0.30676887530703445
Identify_problem_goal_stated,8.863636363636365*,0.011892846645735061,0.38435305739290376
Rule_Current_Simultaneous_scanning,29.620161290322578*,0.0002466682201142158,0.3513080396314286
Rule_Voltage_Drop_Simultaneous_scanning,32.65934065934066*,1.4025055403423452e-06,0.3688910219571439
Rule_Current_Successive_scanning,28.16783216783217*,1.153312685139924e-05,0.34258716754421403
Rule_Voltage_Drop_Successive_scanning,30.78571428571428*,2.785220098792312e-05,0.35815333242036085
Rule_Current_Focus_gambling,0.96,0.618783391806141,0.12649110640673517
Rule_Voltage_Drop_Focus_gambling,1.1931818181818181,0.550685777597729,0.14101901870444156
Rule_Current_Conservative_Focusing,11.005102040816327*,0.0265067342449539,0.2141368530560181
Rule_Voltage_Drop_Conservative_Focusing,3.137254901960784,0.20833093062499142,0.22866478019001177
Post_test_Current_partial,5.55,0.06234947668967344,0.30413812651491096
Post_test_Voltage_Drop_partial,6.666666666666666*,0.0356739933472524,0.3333333333333333
Post_test_Current_1_Valid_link,5.490196078431373,0.06424200240022654,0.30249507099101003
Post_test_Voltage_Drop_1_Valid_link,4.444444444444445,0.10836802322189587,0.2721655269759087
Post_test_Current_2_Valid_links,14.337152209492634*,0.0007704189464752772,0.4888277169155583
Post_test_Voltage_Drop_2_Valid_links,6.3999999999999995*,0.040762203978366225,0.3265986323710904
