Observation1,T1EB1,T1BVD,T1RID,T1AE,N,T2EB1,T2BVD,T2RID,T2AE,T2VE,,,,,,,,,,,,,,,
Observation2,T1EB1,T1BVD,T1RE1,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation3,T1EB1,T1BVD,T1RE1,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation4,T1EB1,T1BVD,T1RE1,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation5,T1EB2,T1BVE,T1RE2S,T1ADBA,T1VE,T2EB2,T2BVE,T2RE2D,T2ADHL,T2VDHL2,,,,,,,,,,,,,,,
Observation6,T1EB1,T1BVE,T1RID,T1AE,T1VE,T2EB1,T2BVD,T2RE1,T2AE,T2VE,T3EB2,T3BVE,T3RE2S,T3ADBA,N,T4EB2,T4BVE,T4RE2D,T4ADBA,N,,,,,
Observation7,T1EB1,T1BVE,T1RID,T1ADBA,T1VE,T2EB2,T2BVE,T2RE2D,T2ADBA,T2VE,,,,,,,,,,,,,,,
Observation8,T1EB1,T1BVE,T1RID,T1ADBA,T1VE,T2EB1,T2BVD,T2RE1,T2AE,T2VE,T3EB1,T3BVE,T3RID,T3ADBA,T3VE,T4EB2,T4BVE,T4RE2D,T4AE,T4VDHL2B,,,,,
Observation9,T1EB2,T1BVD,T1RI2,T1ADBA,T1VDHL2B,,,,,,,,,,,,,,,,,,,,
Observation10,T1EB1,T1BVE,T1RID,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation11,T1EB2,T1BVE,T1RE2D,T1ADHL,T1VDHL2,,,,,,,,,,,,,,,,,,,,
Observation12,T1EB1,T1BVD,T1RID,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation13,T1DB,T1BVE,T1RE2S,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation14,T1EB1,T1BVE,T1RID,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation15,T1EB1,T1BVE,T1RID,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation16,T1EB1,T1BVD,T1RE1,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation17,T1EB2,T1BVE,T1RE2S,T1ADBA,N,,,,,,,,,,,,,,,,,,,,
Observation18,T1EB1,T1BVE,T1RID,T1AE,T1VE,,,,,,,,,,,,,,,,,,,,
Observation19,T1EB2,T1BVE,T1RE2S,T1AE,N,,,,,,,,,,,,,,,,,,,,
Observation20,T1EB2,T1BVD,T1RE1,T1AE,N,,,,,,,,,,,,,,,,,,,,
Observation21,T1EB2,T1BVE,T1RE2D,T1AE,T1VDHL2B,T2EB2,T2BVE,T2RE2D,T2ADHL,T2VE,T3EB2,T3BVE,T3RE2D,T3ADHL,T3VDHL2,,,,,,,,,,
Observation22,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB2,T2BVE,T2RE2D,T2ADHL,T2VE,T3EB2,T3BVE,T3RE2D,T3AE,T3VDHL2,T4EB2,T4BVE,T4RE2D,T4AE,T4VDHL2B,,,,,
Observation23,T1EB1,T1BVE,T1RE1,T1AE,T1VE,T2DB,T2BVE,T2RID,T2AE,T2VE,,,,,,,,,,,,,,,
Observation24,T1EB2,T1BVE,T1RI2,T1ADHL,T1VDHL2,T2EB1,T2BVD,T2RE1,T2AE,T2VE,T3EB1,T3BVE,T3RE1,T3AE,T3VE,T4EB2,T4BVE,T4RE2S,T4ADBA,T4VE,,,,,
Observation25,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,,,,,,,,,,,,,,,,,,,,
Observation26,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB1,T2BVE,T2RID,T2ADBA,T2VE,T3EB2,T3BVE,T3RE2D,T3ADHL,T3VE,,,,,,,,,,
Observation27,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2DB,T2BVE,T2RID,T2AE,T2VE,,,,,,,,,,,,,,,
Observation28,T1DB,T1BVE,T1RID,T1ADBA,T1VE,T2DB,T2BVE,T2RID,T2AE,T2VE,T3DB,T3BVE,T3RE2D,T3AE,T3VE,T4EB2,T4BVE,T4RE2D,T4ADHL,T4VE,,,,,
Observation29,T1EB2,T1BVE,T1RI2,T1AE,T1VE,T2EB2,T2BVE,T2RI2,T2AE,T2VE,,,,,,,,,,,,,,,
Observation30,T1DB,T1BVE,T1RE2S,T1AE,T1VE,T2EB2,T2BVE,T2RI2,T2ADHL,T2VE,,,,,,,,,,,,,,,
Observation31,T1DB,T1BVE,T1RID,T1AE,T1VE,T2EB2,T2BVE,T2RE2S,T2ADBA,T2VE,T3EB2,T3BVE,T3RE2D,T3ADHL,T3VE,T4EB2,T4BVE,T4RE2D,T4AE,T4VDHL2,,,,,
Observation32,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB2,T2BVE,T2RE2DP,T2ADHL,T2VDHL2,,,,,,,,,,,,,,,
Observation33,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2DB,T2BVE,T2RE2DP,T2AE,T2VDHL2,,,,,,,,,,,,,,,
Observation34,T1EB2,T1BVE,T1RE2D,T1ADHL,T1VE,T2EB1,T2BVE,T2RE1,T2ADBA,T2VE,,,,,,,,,,,,,,,
Observation35,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB2,T2BVE,T2RID,T2AE,T2VDHL2,,,,,,,,,,,,,,,
Observation36,T1DB,T1BVE,T1RID,T1AE,T1VE,T2EB2,T2BVE,T2RI2,T2AE,T2VE,T3EB2,T3BVE,T3RI2,T3ADBA,T3VE,T4EB1,T4BVE,T4RI2,T4ADBA,T4VE,T5EB1,T5BVE,T5RE1,T5ADBA,T5VE
Observation37,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB2,T2BVE,T2RI2,T2AE,T2VDHL2,,,,,,,,,,,,,,,
Observation38,T1EB2,T1BVE,T1RI2,T1AE,T1VE,T2EB1,T2BVE,T2RID,T2ADBA,T2VE,T3EB2,T3BVE,T3RE2D,T3ADHL,T3VEHL2,,,,,,,,,,
Observation39,T1EB1,T1BVE,T1RE1,T1ADBA,T1VE,T2EB2,T2BVE,T2RE2S,T2AE,T2VE,,,,,,,,,,,,,,,
Observation40,T1EB2,T1BVE,T1RE2D,T1ADBA,T1VDHL2,T2EB2,T2BVE,T2RE2D,T2ADHL,T2VDHL2B,,,,,,,,,,,,,,,
Observation41,T1DB,T1BVE,T1RID,T1AE,T1VE,T2EB2,T2BVE,T2RID,T2AE,T2VE,,,,,,,,,,,,,,,
Observation42,T1EB2,T1BVE,T1RI2,T1AE,T1VE,T2EB2,T2BVE,T1RE2DP,T2ADBA,T2VDHL2,,,,,,,,,,,,,,,
Observation43,T1EB1,T1BVD,T1RE1,T1AE,T1VE,T2EB2,T2BVE,T2RE2D,T2ADBA,T2VE,,,,,,,,,,,,,,,
Observation44,T1EB2,T1BVD,T1RE2S,T1AE,T1VE,T2EB1,T2BVE,T2RID,T2AE,T2VE,,,,,,,,,,,,,,,
Observation45,T1EB1,T1BVD,T1RE1,T1AE,T1VE,T2EB2,T2BVE,T2RE2D,T2ADBA,T2VE,T3EB2,T3BVE,T3RI2,T3AE,T3VDHL2,,,,,,,,,,
Observation46,T1EB1,T1BVD,T1RE1,T1AE,T1VE,T2EB1,T2BVE,T2RE1,T2ADBA,T2VE,T3EB1,T3BVE,T3RE1,T3AE,T3VE,T4EB2,T4BVE,T4RE2DP,T4AE,T4VEHL2,T5EB2,T5BVE,T5RE2S,T5AE,T5VDHL2
Observation47,T1EB1,T1BVE,T1RID,T1AE,T1VE,T2EB1,T2BVE,T2RID,T2ADBA,T2VE,T3EB1,T3BVE,T3RID,T3ADBA,T3VE,T4EB1,T4BVD,T4RE1,T4ADBA,T4VE,,,,,
